ENTITY,YEAR,ADULT_LITERACY,YOUTH_LITERACY_M,YOUTH_LITERACY_F,OWID_REGION
Dominican Republic,2004,87.0,95.2,96.7,North America
Dominican Republic,2005,87.0,96.2,97.3,North America
Dominican Republic,2006,87.0,95.3,97.9,North America
Dominican Republic,2007,88.0,97.2,97.8,North America
Dominican Republic,2008,88.0,95.6,97.4,North America
Dominican Republic,2009,88.0,96.2,98.4,North America
Dominican Republic,2010,90.0,96.2,97.9,North America
Dominican Republic,2011,90.0,96.5,98.6,North America
Dominican Republic,2012,90.0,96.7,98.0,North America
Dominican Republic,2013,91.0,97.6,98.3,North America
Dominican Republic,2014,92.0,98.0,98.2,North America
Dominican Republic,2015,92.0,98.1,98.1,North America
Dominican Republic,2016,94.0,98.1,98.8,North America
Dominican Republic,2017,94.0,97.8,98.4,North America
Dominican Republic,2018,94.0,98.0,99.1,North America
Dominican Republic,2019,94.0,98.3,99.1,North America
Dominican Republic,2020,94.0,98.6,99.1,North America
Dominican Republic,2021,94.0,98.7,99.0,North America
Dominican Republic,2022,94.0,98.1,98.9,North America
Dominican Republic,2023,94.0,98.3,98.8,North America
East Timor,2001,38.0,87.25,83.71,Asia
East Timor,2007,51.0,87.25,83.71,Asia
East Timor,2009,51.0,87.25,83.71,Asia
East Timor,2010,58.0,80.0,79.0,Asia
East Timor,2016,65.77913,89.55101,88.72531,Asia
Ecuador,1982,84.0,95.0,92.0,South America
Ecuador,1990,88.0,97.0,96.0,South America
Ecuador,2001,91.0,97.6,97.3,South America
Ecuador,2003,91.0,96.5,97.4,South America
Ecuador,2005,91.0,98.3,98.2,South America
Ecuador,2006,91.0,98.3,98.1,South America
Ecuador,2007,92.0,98.2,98.6,South America
Ecuador,2008,92.0,98.4,98.5,South America
Ecuador,2009,92.0,98.7,98.9,South America
Ecuador,2010,92.0,98.5,98.9,South America
Ecuador,2011,92.0,98.6,98.8,South America
Ecuador,2012,92.0,98.8,98.9,South America
Ecuador,2013,93.0,98.6,98.6,South America
Ecuador,2014,94.0,99.0,99.2,South America
Ecuador,2015,94.0,99.3,98.9,South America
Ecuador,2016,94.0,99.0,99.1,South America
Ecuador,2017,93.0,99.1,99.4,South America
Ecuador,2018,93.0,98.9,99.1,South America
Ecuador,2019,93.0,98.2,98.8,South America
Ecuador,2020,94.0,98.5,99.1,South America
Ecuador,2021,94.0,99.0,99.2,South America
Ecuador,2022,94.0,99.0,99.2,South America
Ecuador,2023,94.0,99.0,99.3,South America
Egypt,1976,38.0,63.0,38.0,Africa
Egypt,1986,44.0,71.0,54.0,Africa
Egypt,1996,56.0,79.0,67.0,Africa
Egypt,2000,56.0,79.0,77.19,Africa
Egypt,2005,67.0,90.0,79.0,Africa
Egypt,2006,66.0,88.0,82.0,Africa
Egypt,2010,72.0,91.0,84.0,Africa
Egypt,2012,74.0,92.0,86.0,Africa
Egypt,2013,72.0,94.0,90.0,Africa
Egypt,2014,72.0,94.0,94.08,Africa
Egypt,2017,71.0,89.0,87.0,Africa
Egypt,2022,71.0,95.51,94.82,Africa
El Salvador,1992,74.0,85.0,85.0,North America
El Salvador,2000,74.0,92.2,92.6,North America
El Salvador,2001,74.0,93.5,93.6,North America
El Salvador,2002,74.0,92.9,93.6,North America
El Salvador,2003,74.0,93.3,93.4,North America
El Salvador,2004,74.0,93.7,94.0,North America
El Salvador,2005,74.0,94.9,94.9,North America
El Salvador,2006,84.0,94.4,95.5,North America
El Salvador,2007,82.0,95.2,95.8,North America
El Salvador,2008,84.0,95.0,96.0,North America
El Salvador,2009,84.0,95.1,96.1,North America
El Salvador,2010,84.0,95.7,96.4,North America
El Salvador,2011,85.0,96.0,97.0,North America
El Salvador,2012,85.0,96.7,97.6,North America
El Salvador,2013,87.0,96.9,97.5,North America
El Salvador,2014,87.0,97.3,98.2,North America
El Salvador,2015,88.0,97.5,98.4,North America
El Salvador,2016,88.0,97.7,98.3,North America
El Salvador,2017,88.0,97.8,98.1,North America
El Salvador,2018,89.0,97.7,98.2,North America
El Salvador,2019,89.0,98.0,98.7,North America
El Salvador,2020,90.0,98.3,98.7,North America
El Salvador,2021,90.0,97.8,98.3,North America
El Salvador,2022,90.0,98.0,98.6,North America
El Salvador,2023,90.0,97.6,98.5,North America
Equatorial Guinea,2000,88.0,98.0,97.0,Africa
Eritrea,2002,53.0,86.0,69.0,Africa
Eritrea,2008,65.0,91.0,83.0,Africa
Estonia,1989,100.0,100.0,100.0,Europe
Estonia,2000,100.0,100.0,100.0,Europe
Estonia,2011,100.0,100.0,100.0,Europe
Eswatini,1976,55.0,76.0,75.0,Africa
Eswatini,1986,67.0,83.0,84.0,Africa
Eswatini,2000,82.0,91.0,93.0,Africa
